Date,Day,TotalAttendance,PALACE_PARK_AND_GARDENS,PARK_AND_GARDENS,PARK_ONLY,SandwichesSold,AvgDailyMin,AvgDailyHigh,DailyMin,DailyMax,Weather0000,Weather0030,Weather0100,Weather0130,Weather0200,Weather0230,Weather0300,Weather0330,Weather0400,Weather0430,Weather0500,Weather0530,Weather0600,Weather0630,Weather0700,Weather0730,Weather0800,Weather0830,Weather0900,Weather0930,Weather1000,Weather1030,Weather1100,Weather1130,Weather1200,Weather1230,Weather1300,Weather1330,Weather1400,Weather1430,Weather1500,Weather1530,Weather1600,Weather1630,Weather1700,Weather1730,Weather1800,Weather1830,Weather1900,Weather1930,Weather2000,Weather2030,Weather2100,Weather2130,Weather2200,Weather2230,Weather2300,Weather2330
01/03/2022,3,412,386,2,24,4,6.07,8,6.22,8.08,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,6,6,6,6,6,6,6,1,1,6,3,6,6,6,6,6,6,6,6,8,8,8,8,2,8,2,2,2,8
02/03/2022,4,150,106,0,44,0,4.9,6.58,4.65,6.81,2,2,2,2,2,2,8,2,2,1,15,15,15,11,4,6,11,11,11,11,11,8,8,7,8,7,15,7,4,4,15,15,8,6,3,3,10,6,1,1,10,10,10,1,9,9,9,3
03/03/2022,5,768,742,26,0,14,3.65,10.09,3.39,10.83,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,11,3,3,3,3,3,3,3,3,3,3,1,2,8,1,1,1,1,1,1,15,15,15,1,1,1,1,1,1,6,6
04/03/2022,6,838,813,25,0,21,2.98,7.94,1.79,8.45,4,4,15,1,1,6,8,15,8,8,8,8,8,1,6,6,6,6,1,1,1,1,1,10,1,1,1,1,1,1,1,1,10,5,5,5,5,5,9,5,5,9,9,9,9,9,9,5
05/03/2022,7,1925,1798,127,0,30,3.2,6.51,2.59,7.27,5,5,6,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,6,6,6,1,6,15,15,15,1,15,6
06/03/2022,1,2272,2152,120,0,20,0.31,6.43,-0.22,6.99,6,6,15,6,15,15,1,1,6,6,6,6,6,1,1,1,6,1,1,1,10,10,1,1,16,1,10,1,1,1,10,1,1,1,10,10,10,10,1,10,10,9,9,5,5,10,5,1
07/03/2022,2,1093,1051,42,0,6,-0.23,7.32,-0.65,7.94,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,5,5,9,9,9,9,9,9,5,5,10,1,6,1,10,5,9,1
08/03/2022,3,1113,1074,39,0,10,-0.07,10.16,-0.13,11.68,1,1,1,1,1,1,10,5,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,5,5,9,9,9,9,5,1,1,1,10,10,1,10,10,1,1,1,10,1,1,6
09/03/2022,4,1048,1002,46,0,17,5.76,11.41,5.51,11.86,6,1,10,10,9,5,9,9,1,1,1,1,10,1,1,1,1,1,10,10,10,10,10,10,1,1,10,10,10,1,10,10,10,1,5,5,9,5,5,9,5,5,1,10,10,10,10,1
10/03/2022,5,888,838,50,0,11,8.08,12.31,7.89,13.12,1,1,1,9,1,9,9,9,1,1,1,9,9,9,9,9,5,5,5,10,5,5,5,5,5,10,1,10,10,1,1,1,1,10,1,6,6,1,1,10,1,1,10,5,10,1,5,1
11/03/2022,6,624,587,37,0,7,7.34,10.21,6.98,11.46,1,1,10,10,1,1,1,1,1,1,10,10,1,9,5,5,5,5,1,1,1,8,10,10,1,1,2,7,7,7,7,7,1,8,8,1,10,1,10,5,5,9,10,1,1,7,1,1
12/03/2022,7,2410,2217,193,0,31,5.81,10.99,5.52,11.52,7,1,5,10,1,1,13,1,8,1,1,9,10,9,10,5,5,5,5,10,10,5,10,10,10,10,10,1,10,10,10,10,10,10,10,5,5,5,5,5,9,9,9,9,5,5,5,1
13/03/2022,1,1805,1644,161,0,38,4.59,10.7,4.28,12.01,8,1,8,8,7,1,7,7,8,8,8,8,2,8,1,1,1,1,1,1,1,10,10,1,10,10,10,10,10,10,10,10,10,10,10,10,5,5,5,5,5,8,10,5,5,9,9,9
14/03/2022,2,947,889,58,0,10,2.68,11.47,1.21,13,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,11,11,11,12,9,5,5,10,10,10,9,10,10,10,10,10,5,5,10,10,5,5,5,5,9,9,9,9,9,9,9,9
15/03/2022,3,1056,1012,44,0,8,4.54,12.73,3.72,14.17,9,9,9,9,9,3,1,11,11,11,11,11,11,11,11,11,6,11,11,3,3,5,5,5,9,9,9,5,9,6,6,5,9,5,5,5,9,9,9,9,9,9,9,9,9,9,5,1
16/03/2022,4,381,371,10,0,6,4.08,10.59,3.32,11.72,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,11,17,8,8,8,14,7,7,17,14,15,17,2,7,8,7,14,7,6,10,1,1,1,1,1,5
17/03/2022,5,1053,1006,47,0,15,1.44,11.16,0.16,12.53,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,10,1,10,10,10,10,10,10,10,6,10,10,10,10,10,10,10,5,9,9,9,9,9,9,9,5
18/03/2022,6,1339,1271,68,0,19,3.89,13.68,2.55,15.28,5,5,5,11,11,12,12,12,11,12,12,12,12,12,12,12,9,12,12,12,12,12,11,11,11,5,10,10,10,10,5,5,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
19/03/2022,7,2696,2420,276,0,89,5.18,12.99,4.86,14.91,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
20/03/2022,1,2147,1936,211,0,39,1.9,9.91,1.29,11.12,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,5,10,9,10,10,10,5,5,5,9,9,9,9,9,9,5,5,9,9,9,9,9,9,9,9,9
21/03/2022,2,1009,928,81,0,12,0.8,13.81,-1.03,15.35,9,9,9,3,3,3,9,3,9,3,3,3,3,3,11,3,10,3,3,3,3,3,5,9,5,5,5,5,5,5,5,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
22/03/2022,3,1040,969,71,0,22,6.34,16.1,6.1,17.96,9,9,9,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,5,5,5,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
23/03/2022,4,1188,1087,101,0,32,5.76,16.71,2.67,18.39,9,9,9,9,9,9,9,9,3,3,3,3,3,11,11,11,11,3,3,3,3,3,3,3,9,9,5,5,5,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
24/03/2022,5,624,527,5,92,4,5.98,15.96,1.87,17.42,9,9,9,3,3,3,3,3,6,3,6,3,3,3,3,3,5,3,3,3,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
25/03/2022,6,617,429,17,171,8,4.9,15.06,3.76,16.44,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
26/03/2022,7,1618,1081,18,519,30,3.92,15.25,2.54,17.15,9,3,3,3,9,3,3,3,3,3,3,3,3,3,3,3,9,9,9,9,9,9,9,9,9,9,9,9,5,9,9,9,9,9,9,9,9,9,5,5,9,9,9,9,9,9,9,9
27/03/2022,1,1287,866,50,371,10,3.9,12.37,3.68,13.32,9,3,3,3,3,3,9,3,9,3,3,3,3,3,3,11,11,11,12,12,12,12,11,11,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,10,5,9,9,9,9
28/03/2022,2,570,431,8,131,11,3.25,15.12,0.2,16.32,9,3,3,3,3,11,12,11,11,11,12,11,11,11,12,12,9,11,11,11,11,3,3,3,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,9
29/03/2022,3,325,219,2,104,5,4.85,10.36,4.21,11.16,1,6,8,9,8,8,8,7,7,8,6,8,3,3,3,11,6,8,3,3,11,10,3,3,3,3,8,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,1,3,3,3,3
30/03/2022,4,360,289,9,62,4,1.75,9.72,1.17,10.69,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,3,3,3,3,1,6,6,8,8,8,6,1,8,1,8,5,1,1
31/03/2022,5,235,193,6,36,5,-1.19,5.54,-1.53,6.05,1,1,1,1,1,1,1,1,9,9,9,9,5,9,5,5,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,8,1,10,10,10,10,8,1,1,5,5,10,10,1,5,5,9
01/04/2022,6,416,329,4,83,3,-0.67,7.17,-0.99,7.77,9,9,9,9,9,5,10,10,5,5,5,5,5,5,9,9,9,10,10,5,5,5,5,10,10,10,10,10,10,10,10,8,10,10,5,9,8,10,5,5,5,5,5,9,9,9,9,9
02/04/2022,7,840,581,7,252,7,-1.53,7.47,-2.07,8.45,9,9,9,9,9,9,5,9,1,9,9,3,3,3,3,12,6,3,3,3,9,5,10,10,10,10,1,10,8,10,1,6,10,1,10,10,10,10,10,5,5,5,5,5,9,9,9,9
03/04/2022,1,2346,2165,180,1,25,-2.23,8.43,-3.28,9.07,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,9,9,9,9,9,9,9,5,5,8,10,10,10,10,5,5,9,10,5,5,5,5,9,9,9,9,9,9,9,9,9,9,9
04/04/2022,2,838,795,43,0,11,3.46,12.5,3.24,13.98,9,9,9,9,9,9,7,7,8,8,8,8,8,15,15,15,8,8,8,8,7,8,1,10,10,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,1
05/04/2022,3,1238,1132,106,0,7,7.94,12.17,7.5,13.25,1,1,1,6,6,1,1,6,1,1,1,1,1,5,5,5,1,1,1,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1
06/04/2022,4,778,725,53,0,14,7.82,11.19,7.5,11.92,1,1,1,1,10,1,1,6,6,6,6,6,1,1,1,1,1,1,1,2,1,15,10,6,10,1,1,1,13,8,16,10,8,1,1,1,1,10,10,10,1,1,1,13,6,1,1,1
07/04/2022,5,1077,1014,63,0,10,2.19,9.87,1.45,11.32,1,8,7,14,14,8,8,1,8,1,1,5,5,10,10,10,10,10,10,5,10,10,1,10,1,10,10,10,10,10,10,10,10,1,10,10,10,10,10,1,1,1,5,5,9,9,9,9
08/04/2022,6,1298,1217,81,0,23,1.81,9.29,0.74,10.93,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,9,9,9,9,9,9,5,5,10,10,10,10,10,10,10,10,10,9,5,10,10,10,10,5,6,10,10,10,1,10,5
09/04/2022,7,2367,2188,179,0,40,-0.59,0.32,-0.85,10.87,5,5,5,9,9,9,9,9,10,9,5,9,9,9,9,9,9,9,9,9,9,5,5,10,10,10,5,10,10,10,10,5,5,5,9,9,10,10,9,9,9,9,9,9,9,9,9,9
10/04/2022,1,2457,2227,230,0,29,-0.05,11.34,-1.52,12.53,10,5,5,5,5,9,1,9,1,9,1,9,9,9,9,12,9,12,9,9,9,9,9,9,10,5,5,5,5,5,9,9,9,5,5,5,9,9,9,9,9,9,9,9,9,9,9,9
11/04/2022,2,1697,1521,176,0,12,3.37,14.15,3.1,16.78,9,9,9,9,9,9,9,9,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,9,9,9,9,9,9,9,5,9,9,9,9,9,9,9,1,1,1,1,1,1,1,6
12/04/2022,3,1406,1309,97,0,23,8.18,14.66,8.04,15.32,6,1,1,1,9,10,9,9,9,9,9,9,9,1,9,8,9,10,8,16,2,10,5,5,5,10,1,1,1,1,1,1,8,1,1,1,1,1,1,5,5,5,9,9,9,5,9,9
13/04/2022,4,1821,1652,169,0,12,6.99,14.55,6.74,15.92,5,10,10,9,10,1,1,1,1,1,10,9,9,9,10,5,10,5,10,1,1,1,1,1,1,1,1,10,10,1,10,10,1,10,10,10,10,10,5,5,5,5,5,9,9,9,9,9
14/04/2022,5,2202,2012,190,0,26,6.6,15.92,5.04,16.5,9,9,9,9,9,9,9,9,9,11,11,12,12,12,12,12,12,11,11,11,11,1,1,1,1,1,1,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,5,5,9
15/04/2022,6,8146,7248,898,0,22,7.25,18.68,5.3,20.72,9,9,9,9,9,9,9,9,9,9,9,9,10,11,12,11,6,11,3,9,5,9,9,1,9,9,5,5,5,10,10,10,10,10,5,5,5,5,9,9,9,9,9,9,9,9,9,9
16/04/2022,7,7811,6914,897,0,42,7.61,18.18,6.93,20.27,9,9,9,9,9,9,9,9,9,10,1,1,1,3,3,3,10,5,9,9,9,9,9,9,9,9,9,9,9,5,5,5,10,5,10,10,9,5,9,9,9,9,9,9,9,9,9,9
17/04/2022,1,6355,5687,668,0,34,6.62,16.2,5.78,18.9,9,9,9,9,9,9,3,3,6,3,6,3,3,11,11,3,11,3,3,3,3,9,9,5,5,9,9,9,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,1
18/04/2022,2,5863,5167,696,0,26,5.88,13.5,5.08,15.18,1,1,1,1,10,10,5,5,1,1,1,1,3,3,9,9,9,9,5,5,5,5,5,5,5,5,5,5,1,10,10,10,10,10,10,10,10,5,5,5,5,5,5,5,5,5,5,9
